3293412.41036062,686.41
4709609.70790088,428.09
8691134.42803575,702.76
2685253.45651346,552.73
20038966.4449122,2422.9
2290693.65508222,810.93
4839224.26776019,317.33
13604083.4397027,471.8
3782927.53111609,344.24
28514885.096108,2242.7
3289302.29589389,319.53
8547819.67047373,584.11
2125366.03916313,431.8
21750243.5494767,2403
15252319.6058171,1867.2
4490172.26695276,580.03
1391263.28807688,579.96
13946945.463856,2293
1451665.52649635,675.68
4910350.34604762,271.63
9904891.58581085,311.25
4317954.71993492,271.7
29203469.8327368,1494.4
6983006.99519369,272.53
NA,NA
3448605.89213569,295.54
NA,NA
29332535.419137,1358.3
2631811.30326617,317.24
2515160.71590272,274.13
3811114.37577219,287.75
11504029.5875825,373.44
5291404.21547065,269.37
1701871.43636636,355.46
10910529.1906326,549.46
16473009.3360876,1621.3
12872054.9730743,1316.1
20939703.5105905,1151.3
1202302.2391888,411.22
1913365.04568209,308.65
NA,NA
995857.4436649,468.04
NA,NA
5234842.24612392,1307.5
3175288.89664074,408.3
1071299.96715548,530.72
5888368.00497377,1821.9
997988.616767327,556.52
1662815.47083778,353.5
4175159.15560319,298.75
4172872.72221716,287.58
1761686.97596593,362.37
21123746.867464,1221.6
1091449.06374459,458.57
9837298.37761175,286.92
6478330.8015849,225.2
9194647.79396294,291.59
17177761.252127,871.11
8837428.89415085,312.61
6278135.84137251,223.08
8255139.43839226,308.89
15918814.9278158,901.34
21477851.6925314,943.7
9172115.52756647,344.41
7998002.20826402,330.81
5963378.65690539,224.85
11932104.1362916,211.9
6064821.73652931,328.81
9284025.02242929,456.17
15434644.0929165,929.38
23118421.4361019,1002.4
21994485.9274446,854.61
5614928.44405064,333.07
5010562.67258178,234.6
4010743.81122947,360.21
11869054.7034675,968.58
4328886.03801426,344.69
4244934.55295402,375.68
4491850.53337898,375.46
3324757.82369052,246.74
3001440.43148202,261.63
4361581.22412712,273.56
2311537.81127027,400.54
2849813.58943691,494.06
5428538.28436163,731.5
7526426.95641151,1031.4
7781633.69690831,1000.7
6547584.39100545,890.6
5718517.31397724,843.23
2600446.16602401,263.99
1453578.32441647,458.42
6676413.32251148,1127.2
1218141.61569777,490.77
2157760.51096544,407.22
2393552.9838202,403.96
2729527.90864997,277.54
1641846.38989997,339.49
1240403.42978131,495.33
2169720.52990556,548.27
7483737.36487287,1238.7
5335904.33361035,897.43
4416016.3201458,900.36
1732102.34197582,407.71
2448517.13806395,287.37
1025963.46456584,543.45
5485248.92861933,1305.7
3883704.11113794,1017.6
2045115.09822531,289.18
1110822.31248203,565.56
3951945.28609895,1335
1181647.36165223,577.59
8956200.85648089,377.75
3306619.58071139,230.88
3139544.08813922,448.21
5355423.50599111,953.93
1341963.40496112,542.31
3725963.1204133,477.68
18537406.2018011,354.03
5749793.77101836,195.73
16091564.047386,371.51
13467997.7666692,770.39
9557362.58071085,384.28
NA,NA
11647125.5542687,413.7
NA,NA
15938245.3091295,958.84
6987033.68233911,434.62
5251932.51228665,485.38
5418836.7788446,461.59
3363626.66895717,225.29
5141378.30668505,315.11
3747509.97485884,482.58
3151965.30964289,581.37
4901299.9228311,921.19
6179839.27363883,968.85
5812229.13681174,910.08
2141651.69569993,538.26
3033799.30436378,509.48
NA,NA
1592875.55012973,589.46
NA,NA
3424348.39110838,904.49
1952685.7263685,267.13
1039680.80535852,616.77
4362026.91834108,1212.2
1258982.77723037,658.57
19350066.38782,394.43
5204215.46507167,187.62
13858776.6877564,439.8
10355820.9827139,791.17
5475402.10615037,482.12
3419787.7601093,223.12
4544282.85154559,520.91
4769818.91284964,906.81
6085019.01652041,968.32
2243361.82361387,261.17
1501652.49826253,612.53
4020154.66890532,1092.5
1209256.88835214,668.22
15013813.2107883,452.45
3460784.07674077,221.95
4930797.28551819,529.24
4731872.90096556,900.44
1675545.5668732,639.19
4731078.17807423,543.96
