"","number","Wo","CR","Freq","aorta_Um_avg","aorta_Um_max","aorta_Ux_avg","aorta_Ux_max","connect_Um_avg","connect_Um_max","connect_Uy_avg","connect_Uy_max","vena_Um_avg","vena_Um_max","vena_Ux_avg","vena_Ux_max","aorta_P_avg","aorta_P_max","vena_P_avg","vena_P_max","delta_P","Q","COT","Work"
"1",1,0.56440976,0.675,1.25,0.520284440361325,1.91490545868874,0.215358125798926,1.89884439110756,0.311588486414761,1.42215564846992,0.155392263107317,1.41126558184624,0.531319710942849,1.77103847265244,0.256384252218835,1.7559140920639,988.883095762987,3452.81796875,-866.180421633835,1139.18369140625,-1855.06351739682,0.647386688672971,5739800000,1306.6
"2",2,0.78737526,0.51622868,1.25,0.382398284028825,1.3161613047123,0.0485586951880476,1.30490854382515,0.23784811812444,0.953427478671074,0.0471246025903943,0.945377200841904,0.388710040241016,1.27214819192886,0.0964871305555675,1.26097410917282,160.173386359215,2083.3220703125,-100.591630182423,1670.273828125,-260.765016541638,0.494006191827335,3.478e+09,827.4
"3",3,0.78737526,0.675,0.8169873,0.274016051089054,1.22697345912456,0.238666067196154,1.20795160531998,0.201114587531516,1.12324357032776,0.170532632999138,1.11929230391979,0.284417510006844,1.14511393010616,0.251661069030757,1.13437093794346,361.779909587846,1353.25654296875,-333.567827497359,70.1126098632812,-695.347737085205,0.514240077958794,3969300000,1068.8
"4",4,0.78737526,0.675,1.25,0.526888840954948,1.90042331814766,0.210506691344671,1.88453003764152,0.317641867714253,1.43056929111481,0.153342834681937,1.41975596547127,0.544397815029901,1.81883066892624,0.256336515489789,1.80270716547966,556.261631620491,2912.2833984375,-403.46989761706,1724.6140625,-959.731529237551,0.659814368891465,4251600000,1082.1
"5",5,0.78737526,0.675,1.6830127,0.427103375030471,1.72277987003326,0.278678013695574,1.69444769620895,0.302484947436684,1.50891587138176,0.205814978237098,1.50069922208786,0.422757732917215,1.71627745032311,0.278219895917623,1.69766709208488,771.727996752812,2673.404296875,-757.644894510685,322.577685546875,-1529.3728912635,0.77328107315037,1.3376e+10,3756.5
"6",6,0.78737526,0.83377132,1.25,0.867676883278516,3.39722186326981,0.783401168156339,3.36873769760132,0.682619304649192,2.95875400304794,0.603177569606487,2.94302105903625,0.874525982910722,3.19908499717712,0.845812121877737,3.14262717962265,1856.26497767507,4979.580859375,-1704.01209982925,577.4642578125,-3560.27707750432,1.61020675316863,6454900000,1635.5
"7",7,1.2157465,0.46198592,1.25,0.349330672523868,1.16423532366753,0.0340753183825608,1.15423865616322,0.217571752768261,0.851394012570381,0.0318571032348481,0.842983201146126,0.362771114655412,1.14963099360466,0.0653585877555909,1.14017672836781,80.945166060685,1767.9849609375,-11.2399266140881,1643.6494140625,-92.1850926747731,0.451839930219997,2782800000,639.05
"8",8,1.2157465,0.51622868,0.8169873,0.0969101042087485,0.3761425614357,0.0658450511529124,0.368248894810677,0.0772026882886196,0.386018194258213,0.0533161168099644,0.385139659047127,0.09555045973252,0.370950326323509,0.0747132280272468,0.365539230406284,42.8208513739899,390.723510742188,-40.7028784990983,108.713916015625,-83.5237298730882,0.181188244603974,3012400000,974.48
"9",9,1.2157465,0.51622868,1.25,0.392638745702904,1.3163049519062,0.0521649469016129,1.30485519766808,0.241626912338408,0.965426117181778,0.0473550871247819,0.956272184848785,0.409474207505201,1.3001374900341,0.0954619227832172,1.28948330879211,104.33054040836,1963.4935546875,-34.0817465964598,1788.7302734375,-138.41228700482,0.501162486936892,2910800000,708.06
"10",10,1.2157465,0.51622868,1.6830127,0.156751356380016,0.611239224672318,0.0896588060606876,0.599826760590076,0.119964810199095,0.578429810702801,0.0700922396857865,0.576132051646709,0.14434662679674,0.486525930464268,0.0862576372440627,0.478060878813267,102.87463070144,572.412060546875,-102.69609171965,48.2330902099609,-205.57072242109,0.281029618195821,1.3119e+10,4278.9
"11",11,1.2157465,0.675,0.6690525,0.392972693727091,1.44964173436165,0.247254626092554,1.42088279128075,0.26625286539719,1.24546304345131,0.167906492262571,1.24545380473137,0.355246092251976,1.37731924653053,0.243492481908023,1.37331262230873,256.826755487183,2684.4076171875,10.4787713479164,2053.283984375,-246.347984139267,0.623802621931582,1.861e+09,646.15
"12",12,1.2157465,0.675,0.8169873,0.267558583961722,1.18521675467491,0.23356060571453,1.16497606039047,0.198123064942446,1.10368259251118,0.165669278126452,1.10064253211021,0.277959592686851,1.17978222668171,0.247770225536894,1.17136940360069,163.010323926185,737.203271484375,-132.131078865195,77.7006774902344,-295.14140279138,0.500287345836584,3727900000,1132.2
"13",13,1.2157465,0.675,1.25,0.5317990593316,1.90393999218941,0.209099828310864,1.88869044184685,0.324556167331488,1.43972977995872,0.152222200904851,1.42811447381973,0.552308879984316,1.87068596482277,0.25641902637219,1.85433954000473,285.860585497289,2574.2708984375,-128.103054636123,2073.218359375,-413.963640133412,0.675085662689643,3303600000,848.14
